"ano";"mes";"micro";"pequena";"media";"grande"
2001;10;"338,222892000001";"129,78763569";"238,03028728";"1170,12843876"
2001;11;"326,27288617";"116,26654607";"121,72342478";"1513,92854462"
2001;12;"308,30914245";"134,17479638";"319,901306";"2372,03876226"
2002;1;"298,63093662";"117,76324899";"264,6788633";"3447,92827543"
2002;2;"263,87561939";"76,26861718";"91,0737099400001";"2353,84208705"
2002;3;"319,04549971";"101,78072876";"438,18566275";"2852,08226455"
2002;4;"289,97810081";"119,38236187";"145,73772183";"1990,32903571"
2002;5;"319,07447716";"111,959727";"160,17445292";"1131,37769544"
2002;6;"434,59701118";"109,61923701";"132,42047293";"1444,30315354"
2002;7;"345,34427276";"113,15613254";"185,03325759";"1421,04759614"
2002;8;"361,43524385";"92,2605547300001";"216,10751267";"6648,70871184"
2002;9;"329,15732643";"108,32581042";"216,36073863";"2138,23012364"
2002;10;"621,68135601";"194,62832024";"246,95691432";"2077,05245684"
2002;11;"190,42493742";"138,28946671";"170,08783739";"2544,35605707"
2002;12;"924,756100789998";"139,35573784";"531,19640645";"4104,91510885999"
2003;1;"448,55830261";"168,25119037";"201,69203125";"749,25167636"
2003;2;"398,36399378";"129,98781082";"157,63590847";"291,24509909"
2003;3;"458,90521252";"149,86295995";"285,204455";"564,04302265"
2003;4;"381,938522";"148,43790227";"229,01240445";"719,438785960001"
2003;5;"762,576477909999";"175,35217192";"195,68799401";"1200,91583598"
2003;6;"841,388387880002";"164,98821648";"204,46301381";"4089,23014417"
2003;7;"178,06340266";"165,75726349";"212,28361126";"604,16520723"
2003;8;"588,370332279999";"146,33196479";"188,65704913";"1072,99446566"
2003;9;"891,97120261";"179,29076287";"239,63742442";"2082,08243672"
2003;10;"583,972193609999";"167,41515208";"295,92022998";"6626,41329763"
2003;11;"938,01475218";"143,0332724";"376,66509671";"4282,97498141"
2003;12;"717,145514450001";"204,61243947";"884,480079780002";"5477,07503909"
2004;1;"597,353912840001";"123,63985358";"204,06808757";"372,5152787"
2004;2;"639,37983581";"109,5256425";"151,25523719";"235,93541047"
2004;3;"654,549149820001";"102,55401361";"287,98168689";"4776,76446825"
2004;4;"629,294000420001";"120,96714357";"198,69537754";"2124,97740491"
2004;5;"710,25321425";"112,58082656";"265,41419418";"2373,19079426"
2004;6;"2047,26084067";"177,04001432";"273,36650856";"1540,36112207"
2004;7;"97,39501688";"117,76919069";"216,52646167";"2374,26978286"
2004;8;"153,13551586";"192,18233142";"256,60647498";"308,20932743"
2004;9;"577,95289636";"174,37182264";"275,73583174";"1052,56204146"
2004;10;"747,067459279999";"173,14256406";"312,0526489";"3597,36046827"
2004;11;"761,807368680001";"199,43507865";"256,36241228";"3483,24301853"
2004;12;"684,60747522";"213,77766713";"296,6457043";"2546,04829719"
2005;1;"533,83413009";"174,04979379";"331,40963049";"780,44003464"
2005;2;"425,34746968";"131,77191399";"245,91496463";"1591,53342193"
2005;3;"496,88127317";"189,1301957";"461,37899917";"2268,42617052"
2005;4;"457,48874971";"242,21800363";"489,98327906";"2224,69905067"
2005;5;"457,14140291";"243,17942326";"418,38921891";"4565,99231175"
2005;6;"784,61131063";"240,0917951";"375,30761472";"4808,86433431"
